,kills,headshotKills,heals,damageDealt,DBNOs,walkDistance
0,3,0,1,316,0,132
1,2,0,0,200,0,565
2,0,0,0,174,0,0
3,0,0,3,44,0,1002
4,0,0,0,0,0,54
5,0,0,0,0,0,1777
6,3,0,1,219,0,2691
7,0,0,0,0,0,115
8,0,0,0,0,0,98
9,0,0,0,0,0,98
10,2,2,1,200,0,1269
11,0,0,0,0,0,130
12,7,4,2,737,0,1489
13,2,1,3,177,0,1847
14,1,0,0,100,0,764
15,2,2,9,159,0,2417
16,0,0,0,0,0,665
17,0,0,0,0,0,0
18,0,0,0,100,0,522
19,4,1,2,583,0,1707
20,0,0,0,37,0,173
21,1,1,0,100,0,301
22,7,2,10,652,0,2701
23,0,0,0,0,0,319
24,0,0,1,30,0,1566
25,1,0,0,100,0,874
26,13,6,4,1301,0,3268
27,0,0,0,0,0,3136
28,1,0,1,130,0,2328
29,1,0,1,100,0,343
30,0,0,0,0,0,126
31,0,0,0,0,0,7
32,2,0,2,200,0,1023
33,1,1,1,172,0,1788
34,0,0,0,0,0,407
35,0,0,0,90,0,162
36,1,1,0,113,0,438
37,0,0,0,86,0,76
38,0,0,0,52,0,1365
39,1,0,1,215,0,1741
40,0,0,0,43,0,55
41,5,1,5,558,0,3433
42,0,0,1,35,0,2224
43,1,1,11,132,0,2032
44,0,0,0,87,0,426
45,0,0,0,0,0,2
46,0,0,0,0,0,72
47,2,0,1,200,0,862
48,0,0,0,39,0,1843
49,0,0,0,0,0,41
50,0,0,0,11,0,610
51,6,4,3,602,0,3101
52,0,0,0,0,0,146
53,0,0,2,174,0,1310
54,5,2,0,403,0,368
55,0,0,0,0,0,295
56,0,0,0,85,0,81
57,0,0,5,0,0,227
58,0,0,0,34,0,3299
59,3,0,0,220,0,1579
60,0,0,0,0,0,0
61,0,0,0,23,0,293
62,2,0,0,169,0,120
63,0,0,1,65,0,421
64,0,0,0,39,0,14
65,7,0,2,846,0,2050
66,1,0,1,189,0,119
67,1,1,2,137,0,351
68,1,0,0,100,0,1285
69,1,0,1,133,0,2232
70,4,0,3,427,0,2640
71,0,0,0,0,0,2915
72,6,3,0,620,0,1114
73,0,0,1,56,0,2024
74,0,0,0,74,0,0
75,0,0,0,19,0,14
76,0,0,0,0,0,58
77,0,0,0,0,0,0
78,0,0,0,0,0,76
79,0,0,0,31,0,1202
80,0,0,0,0,0,127
81,0,0,2,0,0,2285
82,1,1,1,91,0,1856
83,2,0,5,200,0,3755
84,0,0,0,0,0,31
85,0,0,0,98,0,299
86,7,2,1,794,0,2171
87,0,0,0,0,0,886
88,0,0,5,72,0,944
89,0,0,3,82,0,3615
90,3,2,1,419,0,2500
91,0,0,0,32,0,117
92,1,0,0,100,0,2274
93,0,0,0,0,0,2059
94,1,0,0,66,0,107
95,0,0,0,0,0,12
96,4,0,1,511,0,2066
97,0,0,0,0,0,12
98,0,0,0,0,0,336
99,0,0,0,46,0,102
100,0,0,0,0,0,2109
101,0,0,1,0,0,873
102,1,0,1,100,0,1584
103,1,0,0,214,0,490
104,3,0,0,394,0,370
105,0,0,1,36,0,391
106,2,1,0,389,0,2325
107,1,0,0,100,0,316
108,0,0,0,0,0,85
109,0,0,1,38,0,157
110,7,0,4,671,0,1899
111,1,0,4,309,0,2651
112,2,0,1,238,0,1181
113,0,0,0,0,0,272
114,3,0,0,300,0,1040
115,1,1,2,100,0,911
116,0,0,0,0,0,0
117,0,0,0,68,0,72
118,0,0,1,0,0,1410
119,0,0,0,0,0,10
120,0,0,0,42,0,694
121,3,2,0,145,0,901
122,0,0,0,0,0,253
123,1,0,0,76,0,458
124,0,0,0,60,0,518
125,0,0,0,0,0,5
126,0,0,0,0,0,12
127,2,0,2,200,0,1406
128,1,0,0,154,0,621
129,0,0,0,0,0,428
130,0,0,0,51,0,641
131,3,0,0,350,0,2560
132,0,0,0,119,0,0
133,4,2,8,401,0,2458
134,0,0,0,68,0,845
135,1,1,0,69,0,174
136,1,0,0,157,0,1469
137,1,0,3,125,0,2453
138,1,0,0,125,0,183
139,5,3,0,558,0,1515
140,1,0,0,100,0,94
141,1,0,0,260,0,1460
142,0,0,0,0,0,285
143,0,0,0,0,0,59
144,0,0,0,0,0,347
145,1,0,0,100,0,1453
146,2,0,0,155,0,827
147,0,0,0,49,0,56
148,0,0,0,0,0,0
149,2,0,2,230,0,894
150,3,1,1,194,0,1657
151,1,0,0,367,0,808
152,0,0,0,87,0,38
153,2,1,2,175,0,2497
154,1,0,2,162,0,1787
155,0,0,0,90,0,1466
156,0,0,0,0,0,801
157,2,1,0,293,0,1582
158,0,0,0,0,0,37
159,1,0,1,124,0,1254
160,0,0,0,0,0,0
161,2,2,1,188,0,306
162,1,0,3,104,0,1803
163,0,0,18,0,0,1225
164,0,0,1,54,0,1005
165,0,0,0,12,0,8
166,2,1,0,200,0,3802
167,0,0,2,0,0,1031
168,0,0,0,93,0,236
169,0,0,3,71,0,2269
170,1,1,1,183,0,1734
171,0,0,0,0,0,1341
172,0,0,0,0,0,494
173,0,0,1,0,0,692
174,0,0,0,26,0,1105
175,0,0,1,0,0,1028
176,0,0,0,6,0,34
177,0,0,0,0,0,131
178,3,0,1,300,0,728
179,0,0,0,0,0,0
180,0,0,0,87,0,91
181,0,0,0,23,0,0
182,0,0,0,76,0,131
183,0,0,0,0,0,339
184,0,0,0,0,0,1289
185,1,0,0,100,0,1315
186,0,0,7,75,0,1170
187,0,0,2,19,0,723
188,2,0,1,200,0,2648
189,1,0,0,125,0,1569
190,1,0,0,102,0,2128
191,0,0,0,0,0,315
192,0,0,0,66,0,291
193,0,0,0,24,0,142
194,0,0,0,0,0,633
195,0,0,12,0,0,2533
196,1,0,5,112,0,397
197,0,0,0,0,0,0
198,1,0,0,119,0,1377
199,0,0,0,0,0,0
200,1,1,2,100,0,708
201,0,0,15,0,0,1820
202,3,0,0,309,0,1394
203,1,0,1,180,0,1193
204,0,0,0,297,0,0
205,0,0,0,0,0,736
206,0,0,0,0,0,112
207,0,0,0,0,0,309
208,2,1,0,200,0,24
209,1,0,0,100,0,164
210,0,0,0,29,0,2172
211,1,0,0,120,0,1174
212,1,0,0,100,0,38
213,1,0,0,100,0,71
214,0,0,2,42,0,833
215,1,0,2,137,0,976
216,1,0,0,100,0,225
217,1,0,0,100,0,1032
218,1,0,0,245,0,982
219,3,1,2,419,0,1832
220,2,2,2,246,0,4458
221,0,0,0,0,0,0
222,0,0,0,180,0,131
223,0,0,0,0,0,0
224,0,0,0,23,0,340
225,0,0,0,0,0,95
226,0,0,0,86,0,418
227,1,1,0,100,0,484
228,0,0,0,0,0,29
229,0,0,0,0,0,1056
230,0,0,0,22,0,509
231,0,0,0,0,0,0
232,2,1,2,353,0,2247
233,2,0,2,152,0,2125
234,0,0,0,0,0,551
235,0,0,0,100,0,257
236,0,0,0,41,0,721
237,1,0,0,157,0,1449
238,0,0,0,0,0,0
239,2,1,3,322,0,333
240,1,0,0,131,0,1235
241,1,1,0,100,0,811
242,1,0,1,168,0,1552
243,1,0,0,170,0,912
244,1,0,2,100,0,192
245,0,0,2,0,0,1861
246,0,0,0,0,0,126
247,0,0,3,0,0,2117
248,1,0,0,79,0,471
249,0,0,0,30,0,98
250,0,0,0,0,0,548
251,1,0,4,89,0,1363
252,2,0,1,248,0,1154
253,0,0,0,0,0,8
254,0,0,0,0,0,239
255,0,0,3,0,0,1766
256,2,0,3,336,0,1850
257,0,0,0,75,0,1174
258,1,0,0,85,0,1902
259,3,1,0,220,0,2459
260,0,0,0,22,0,0
261,0,0,6,132,0,1236
262,0,0,0,11,0,2206
263,0,0,0,0,0,50
264,0,0,0,57,0,0
265,0,0,0,54,0,731
266,0,0,0,25,0,186
267,0,0,0,30,0,774
268,0,0,0,0,0,47
269,0,0,0,0,0,506
270,0,0,0,0,0,25
271,0,0,0,0,0,543
272,0,0,0,4,0,2180
273,0,0,1,72,0,340
274,0,0,0,73,0,312
275,0,0,0,0,0,194
276,1,0,3,238,0,2650
277,1,1,0,123,0,203
278,4,1,0,455,0,444
279,0,0,0,0,0,14
280,0,0,0,71,0,9
281,0,0,0,30,0,214
282,0,0,0,0,0,948
283,0,0,0,0,0,0
284,0,0,0,0,0,1367
285,3,0,1,406,0,1515
286,0,0,0,0,0,22
287,0,0,2,0,0,1396
288,0,0,0,0,0,1865
289,2,1,0,199,0,2728
290,0,0,0,93,0,23
291,2,0,9,262,0,2633
292,1,1,0,80,0,186
293,1,0,0,100,0,207
294,1,0,0,95,0,906
295,0,0,0,29,0,659
296,0,0,0,0,0,15
297,1,0,0,94,0,891
298,0,0,0,6,0,169
299,0,0,2,26,0,853
300,0,0,6,0,0,3159
301,0,0,0,0,0,107
302,1,0,1,100,0,1636
303,0,0,0,30,0,943
304,0,0,0,0,0,864
305,0,0,2,0,0,102
306,0,0,0,0,0,382
307,0,0,0,0,0,26
308,0,0,0,2,0,532
309,2,1,0,405,0,1412
310,0,0,0,0,0,83
311,1,0,9,35,0,4130
312,1,0,0,137,0,48
313,1,1,0,100,0,1594
314,1,0,0,100,0,388
315,0,0,0,167,0,755
316,0,0,0,0,0,732
317,0,0,0,0,0,1652
318,0,0,2,0,0,2304
319,1,0,0,122,0,192
320,0,0,0,25,0,180
321,0,0,0,0,0,0
322,0,0,0,0,0,322
323,3,2,2,294,0,2152
324,5,1,1,379,0,2544
325,1,0,0,94,0,2263
326,0,0,0,72,0,758
327,0,0,0,0,0,23
328,0,0,0,99,0,600
329,0,0,0,34,0,64
330,0,0,0,99,0,0
331,2,0,2,308,0,2005
332,0,0,0,0,0,11
333,0,0,0,47,0,32
334,3,1,0,275,0,3033
335,0,0,0,0,0,0
336,2,1,1,200,0,1352
337,1,0,0,100,0,103
338,0,0,0,19,0,4
339,0,0,0,0,0,174
340,3,0,1,455,0,970
341,2,0,3,200,0,1591
342,0,0,0,0,0,323
343,0,0,0,24,0,11
344,0,0,0,0,0,34
345,0,0,3,27,0,1850
346,2,0,1,255,0,1773
347,1,0,1,37,0,429
348,0,0,0,0,0,8
349,6,1,2,471,0,3764
350,0,0,0,0,0,0
351,6,5,4,637,0,2226
352,0,0,0,0,0,341
353,1,0,0,91,0,706
354,0,0,0,23,0,17
355,1,0,0,90,0,1563
356,0,0,0,0,0,27
357,1,1,0,202,0,1655
358,0,0,0,0,0,29
359,2,1,0,149,0,1688
360,0,0,0,42,0,0
361,0,0,1,33,0,1168
362,0,0,0,0,0,0
363,1,0,7,159,0,2516
364,1,0,0,45,0,271
365,2,1,0,251,0,864
366,0,0,0,84,0,200
367,0,0,0,38,0,0
368,0,0,0,0,0,22
369,0,0,0,0,0,1148
370,0,0,0,0,0,1007
371,0,0,0,0,0,338
372,5,2,5,431,0,3266
373,0,0,0,97,0,1438
374,0,0,0,0,0,0
375,0,0,0,48,0,239
376,0,0,0,96,0,2890
377,0,0,0,0,0,62
378,2,1,0,308,0,596
379,0,0,5,31,0,1279
380,5,0,12,463,0,1444
381,0,0,0,80,0,56
382,3,1,1,300,0,2436
383,0,0,0,28,0,1831
384,0,0,0,0,0,1794
385,0,0,0,0,0,0
386,0,0,0,32,0,0
387,0,0,0,35,0,398
388,0,0,0,0,0,160
389,0,0,0,0,0,35
390,0,0,0,0,0,7316
