,winPlacePerc,winPlaceInt
36,0.8462,84.61999999999999
63,0.2245,22.45
69,0.1573,15.73
91,0.1075,10.75
100,0.9355,93.55
121,0.3878,38.78
157,0.9222,92.22
193,0.4444,44.440000000000005
195,0.9263,92.63
243,0.8925,89.25
298,0.9896,98.96000000000001
368,0.9167,91.67
387,0.2917,29.17
388,0.5979,59.79
471,0.6915,69.15
482,0.3895,38.95
494,0.1319,13.19
499,0.8351,83.50999999999999
501,0.5895,58.95
504,0.9149,91.49000000000001
550,0.4516,45.16
577,0.4842,48.42
609,0.3011,30.11
663,0.58,57.99999999999999
720,0.9043,90.42999999999999
741,0.9674,96.74000000000001
769,0.9286,92.86
780,0.8298,82.98
786,0.2333,23.330000000000002
846,0.0,0.0
853,0.1895,18.95
885,0.8542,85.42
951,0.5851,58.51
976,0.4021,40.21
989,0.6842,68.42
991,0.7021,70.21
993,0.5217,52.17
1028,0.5699,56.989999999999995
1039,0.5745,57.45
1064,0.871,87.1
1066,0.3789,37.89
1076,0.5106,51.06
1096,0.299,29.9
1184,0.7065,70.65
1214,0.7143,71.43
1285,0.2581,25.81
1334,0.3163,31.630000000000003
1357,0.0,0.0
1381,0.6186,61.86000000000001
1398,0.1739,17.39
1405,0.7979,79.79
1463,0.4167,41.67
1466,0.0425,4.25
1469,0.8144,81.44
1483,0.3864,38.64
1537,0.8646,86.46000000000001
1563,0.7766,77.66
1601,0.2062,20.62
1615,0.7629,76.29
1633,0.1146,11.459999999999999
1648,0.0306,3.06
1746,0.8913,89.13
1779,0.9167,91.67
1793,0.7528,75.28
1794,0.3333,33.33
1798,0.5368,53.68000000000001
1832,0.5745,57.45
1876,0.0833,8.33
1909,0.6122,61.22
1911,0.2921,29.21
1912,0.381,38.1
1920,0.2396,23.96
1931,0.2198,21.98
1934,0.6383,63.83
1938,0.7708,77.08
1939,0.0632,6.32
1945,0.8737,87.37
1955,0.9785,97.85000000000001
1982,0.4512,45.12
2018,0.2887,28.87
2072,0.6154,61.53999999999999
2159,0.2979,29.79
2181,0.0833,8.33
2196,0.6064,60.64000000000001
2197,0.2551,25.509999999999998
2210,0.0421,4.21
2223,0.5269,52.690000000000005
2231,0.3295,32.95
2290,0.1443,14.430000000000001
2296,0.9263,92.63
2309,0.9375,93.75
2358,0.9789,97.89
2362,0.8696,86.96000000000001
2366,0.1939,19.39
2368,0.3333,33.33
2379,0.3871,38.71
2397,0.1525,15.25
2400,0.0645,6.45
2412,0.7917,79.17
2449,0.1684,16.84
2459,0.3077,30.769999999999996
2487,0.1277,12.770000000000001
2488,0.5667,56.67
2525,0.9579,95.78999999999999
2543,0.8056,80.56
2591,0.8646,86.46000000000001
2597,0.1134,11.34
2638,0.7234,72.34
2640,0.0,0.0
2651,0.2796,27.96
2662,0.5579,55.78999999999999
2675,0.3696,36.96
2677,0.9518,95.17999999999999
2696,0.2449,24.490000000000002
2721,0.0729,7.290000000000001
2760,0.1154,11.540000000000001
2800,0.5287,52.87
2811,0.5789,57.89
2862,0.0851,8.51
2874,0.4227,42.27
2897,0.9892,98.92
2929,0.022,2.1999999999999997
2968,0.2421,24.21
2976,0.0319,3.19
3006,0.5417,54.169999999999995
3027,0.4681,46.81
3112,0.1684,16.84
3184,0.2717,27.169999999999998
3217,0.9022,90.22
3219,0.7128,71.28
3246,0.9158,91.58
3279,1.0,100.0
3309,0.1648,16.48
3322,0.1546,15.459999999999999
3342,0.6939,69.39
3398,0.3626,36.26
3404,0.1383,13.83
3454,0.2947,29.470000000000002
3498,0.1648,16.48
3509,0.3871,38.71
3520,0.913,91.3
3626,0.4842,48.42
3702,1.0,100.0
3730,0.0,0.0
3733,0.828,82.8
3741,0.0685,6.8500000000000005
3752,0.1277,12.770000000000001
3805,0.7526,75.26
3815,0.2424,24.240000000000002
3826,0.0,0.0
3872,0.3646,36.46
3904,0.5876,58.76
3925,0.1327,13.270000000000001
3939,0.8526,85.26
3962,0.0,0.0
3988,0.7595,75.94999999999999
3994,0.7292,72.92
4003,0.1209,12.09
4015,0.4889,48.89
4092,0.0,0.0
4156,0.5426,54.26
4176,0.6842,68.42
4185,0.9794,97.94
4303,0.0421,4.21
4317,0.0851,8.51
4340,0.1263,12.629999999999999
4352,0.6111,61.11
4405,0.1099,10.99
4411,0.6489,64.89
4433,0.9368,93.67999999999999
4434,1.0,100.0
4461,0.9659,96.59
4535,0.5052,50.519999999999996
4616,0.8632,86.32
4632,0.163,16.3
4674,0.3402,34.02
4689,0.596,59.599999999999994
4737,0.0,0.0
4762,0.8172,81.72
4770,0.2727,27.27
4780,0.0217,2.17
4793,0.0619,6.1899999999999995
4802,0.2747,27.47
4813,0.3542,35.42
4815,0.3854,38.54
4856,0.8454,84.54
4859,0.9894,98.94
4886,0.3298,32.98
4908,0.6,60.0
4909,0.9158,91.58
4939,1.0,100.0
4944,0.6737,67.36999999999999
4957,0.3441,34.410000000000004
4962,0.6087,60.870000000000005
4969,0.5699,56.989999999999995
5049,0.0,0.0
5053,0.3402,34.02
5130,0.0816,8.16
5131,0.3265,32.65
5133,0.7195,71.95
5142,0.6163,61.629999999999995
5169,0.1789,17.89
5208,0.2577,25.77
5211,0.2812,28.12
5264,0.5729,57.29
5266,0.4375,43.75
5324,0.8356,83.56
5381,0.5263,52.629999999999995
5401,0.1458,14.580000000000002
5428,0.0612,6.12
5488,0.7128,71.28
5593,0.8065,80.65
5612,0.6596,65.96
5689,0.2234,22.34
5707,0.4286,42.86
5722,0.5053,50.529999999999994
5730,0.967,96.7
5836,0.1809,18.09
5838,0.1235,12.35
5878,0.2826,28.26
5892,0.5556,55.559999999999995
5958,0.3548,35.480000000000004
5992,0.4479,44.79
6043,0.5312,53.12
6056,0.1443,14.430000000000001
6108,0.1739,17.39
6110,0.4362,43.62
6156,0.5208,52.080000000000005
6224,0.4845,48.449999999999996
6245,0.5275,52.75
6252,0.7857,78.57
6262,0.9457,94.57
6288,0.1489,14.89
6309,0.2857,28.57
6359,0.9368,93.67999999999999
6382,0.9684,96.84
6388,0.9286,92.86
6424,0.4947,49.47
6426,0.8925,89.25
6434,0.8723,87.22999999999999
6437,0.6224,62.239999999999995
6446,0.3723,37.230000000000004
6448,0.5417,54.169999999999995
6487,0.4124,41.24
6561,0.5895,58.95
6577,0.2812,28.12
6602,0.5158,51.580000000000005
6622,0.7449,74.49
6672,0.2381,23.810000000000002
6678,0.4227,42.27
6713,0.8144,81.44
6765,0.4632,46.32
6771,0.0,0.0
6776,0.3158,31.580000000000002
6814,0.0957,9.569999999999999
6876,0.4468,44.68
6892,0.7449,74.49
6923,0.5106,51.06
6925,0.0217,2.17
6977,0.7766,77.66
7036,0.9247,92.47
7037,0.021,2.1
7063,0.1978,19.78
7079,0.3505,35.05
7089,0.4301,43.01
7098,0.3158,31.580000000000002
7105,0.0,0.0
7121,0.5053,50.529999999999994
7138,0.7053,70.53
7159,0.5464,54.64
7199,0.7423,74.22999999999999
7209,0.5938,59.38
7256,1.0,100.0
7288,0.2604,26.040000000000003
7296,0.268,26.8
7313,0.9516,95.16
7324,0.8316,83.16
7327,0.0,0.0
7356,0.0833,8.33
7470,0.4842,48.42
7475,0.5,50.0
7501,0.9167,91.67
7509,0.6196,61.96
7514,0.7263,72.63
7519,0.5158,51.580000000000005
7540,0.0316,3.16
7555,0.9091,90.91
7564,0.1522,15.22
7568,0.7474,74.74
7625,0.022,2.1999999999999997
7630,0.1684,16.84
7633,0.7551,75.51
7665,0.3933,39.33
7666,0.4124,41.24
7700,0.3855,38.550000000000004
7723,0.3789,37.89
7739,0.0222,2.22
7748,0.1263,12.629999999999999
7776,0.0,0.0
7785,0.0215,2.15
7812,0.0,0.0
7844,0.5208,52.080000000000005
7850,0.4639,46.39
7904,0.0319,3.19
7954,0.0408,4.08
7984,0.2755,27.55
8020,0.8936,89.36
8054,0.6277,62.77
8067,0.8211,82.11
8081,1.0,100.0
8125,0.8878,88.78
8127,0.7582,75.82
8137,0.2526,25.259999999999998
8189,0.1034,10.34
8221,0.4583,45.83
8227,0.5053,50.529999999999994
8253,0.2449,24.490000000000002
8284,0.023,2.3
8299,0.587,58.699999999999996
8347,0.4583,45.83
8381,0.3441,34.410000000000004
8437,0.5684,56.84
8453,0.617,61.7
8507,0.3563,35.63
8536,0.5204,52.04
8553,0.6211,62.11
8627,0.3587,35.870000000000005
8658,0.602,60.199999999999996
8674,0.5354,53.54
8680,0.6667,66.67
8689,0.0,0.0
8712,0.0,0.0
8735,0.044,4.3999999999999995
8736,0.2245,22.45
8790,1.0,100.0
8809,0.337,33.7
8845,0.977,97.7
8939,0.2667,26.669999999999998
8958,0.2188,21.88
9025,0.2917,29.17
9036,0.8247,82.47
9066,0.0206,2.06
9139,0.4301,43.01
