,winPlacePerc
0,32
1,51
2,0
3,65
4,9
5,53
6,91
7,28
8,9
9,18
10,89
11,21
12,100
13,87
14,71
15,80
16,25
17,0
18,38
19,90
20,26
21,50
22,71
23,48
24,82
25,52
26,100
27,80
28,70
29,53
30,51
31,1
32,52
33,81
34,31
35,26
36,39
37,10
38,83
39,64
40,9
41,94
42,96
43,76
44,27
45,1
46,4
47,89
48,70
49,12
50,37
51,97
52,21
53,51
54,45
55,10
56,12
57,31
58,67
59,83
60,0
61,48
62,32
63,18
64,9
65,92
66,20
67,58
68,73
69,86
70,84
71,68
72,49
73,63
74,0
75,0
76,2
77,2
78,24
79,60
80,19
81,72
82,69
83,85
84,1
85,39
86,97
87,32
88,52
89,87
90,87
91,23
92,61
93,75
94,23
95,2
96,94
97,3
98,39
99,38
100,72
101,80
102,71
103,40
104,54
105,32
106,91
107,40
108,28
109,47
110,78
111,70
112,82
113,29
114,80
115,61
116,0
117,6
118,92
119,26
120,38
121,43
122,24
123,53
124,55
125,4
126,0
127,69
128,55
129,44
130,48
131,88
132,0
133,98
134,71
135,37
136,75
137,97
138,36
139,54
140,8
141,54
142,23
143,3
144,22
145,50
146,82
147,19
148,0
149,38
150,74
151,71
152,27
153,89
154,76
155,64
156,59
157,67
158,11
159,65
160,0
161,46
162,93
163,73
164,40
165,9
166,73
167,57
168,36
169,82
170,77
171,50
172,57
173,57
174,49
175,97
176,9
177,19
178,38
179,4
180,13
181,100
182,24
183,35
184,76
185,49
186,92
187,53
188,85
189,93
190,96
191,25
192,28
193,26
194,46
195,98
196,58
197,3
198,62
199,13
200,55
201,86
202,53
203,52
204,0
205,23
206,10
207,41
208,16
209,59
210,65
211,68
212,16
213,44
214,60
215,59
216,17
217,72
218,48
219,57
220,87
221,0
222,44
223,0
224,31
225,15
226,39
227,51
228,1
229,68
230,17
231,0
232,65
233,87
234,41
235,26
236,65
237,94
238,0
239,70
240,49
241,61
242,92
243,70
244,35
245,77
246,32
247,74
248,31
249,27
250,41
251,64
252,70
253,1
254,37
255,71
256,72
257,38
258,82
259,88
260,100
261,45
262,64
263,2
264,2
265,33
266,11
267,27
268,15
269,85
270,10
271,43
272,64
273,83
274,38
275,18
276,87
277,43
278,42
279,2
280,5
281,23
282,58
283,7
284,57
285,48
286,22
287,77
288,63
289,96
290,6
291,72
292,31
293,27
294,56
295,25
296,6
297,47
298,27
299,77
300,73
301,15
302,65
303,45
304,57
305,23
306,25
307,2
308,47
309,85
310,19
311,89
312,3
313,94
314,36
315,70
316,30
317,52
318,72
319,27
320,42
321,0
322,38
323,89
324,96
325,80
326,56
327,2
328,41
329,10
330,0
331,82
332,7
333,16
334,67
335,0
336,58
337,33
338,1
339,22
340,98
341,65
342,37
343,1
344,18
345,96
346,90
347,50
348,4
349,100
350,0
351,66
352,31
353,55
354,5
355,75
356,12
357,63
358,4
359,86
360,0
361,61
362,0
363,96
364,32
365,52
366,19
367,0
368,2
369,47
370,55
371,32
372,92
373,80
374,24
375,30
376,77
377,9
378,67
379,75
380,71
381,24
382,97
383,72
384,60
385,5
386,0
387,82
388,14
389,8
390,86
391,0
392,69
393,38
394,32
395,87
396,37
397,94
398,43
399,44
400,30
401,2
402,68
403,31
404,43
405,45
406,45
407,19
408,58
409,82
410,2
411,78
412,82
413,1
414,8
415,57
416,60
417,55
418,46
419,65
420,100
421,52
422,29
423,100
424,28
425,85
426,5
427,55
428,37
429,28
430,19
431,9
432,38
433,0
434,38
435,84
436,0
437,58
438,29
439,91
440,31
441,93
442,0
443,40
444,63
445,37
446,45
447,17
448,62
449,6
450,31
451,100
452,32
453,63
454,71
455,2
456,43
457,91
458,93
459,6
460,84
461,1
462,39
463,0
464,54
465,36
466,44
467,0
468,32
469,65
470,27
471,10
472,10
473,91
474,45
475,13
476,77
477,100
478,98
479,76
480,68
481,64
482,38
483,51
484,25
485,95
486,8
487,77
488,2
489,5
490,53
491,2
492,22
493,97
494,84
495,82
496,55
497,75
498,71
499,13
500,34
501,73
502,3
503,85
504,87
505,34
506,30
507,0
508,43
509,33
510,34
511,40
512,91
513,19
514,28
515,49
516,82
517,89
518,0
519,60
520,21
521,0
522,58
523,83
524,72
525,9
526,13
527,0
528,12
529,7
530,60
531,52
532,61
533,45
534,40
535,12
536,12
537,43
538,36
539,60
540,0
541,9
542,22
543,2
544,63
545,94
546,13
547,85
548,69
549,44
550,47
551,74
552,67
553,61
554,67
555,74
556,97
557,89
558,77
559,94
560,1
561,49
562,43
563,72
564,8
565,40
566,26
567,8
568,53
569,24
570,26
571,13
572,69
573,94
574,58
575,17
576,0
577,40
578,40
579,51
580,39
581,79
582,47
583,39
584,28
585,97
586,53
587,63
588,82
589,67
590,7
591,49
592,17
593,42
594,86
595,38
596,25
597,9
598,0
599,57
600,71
601,35
602,29
603,60
604,57
605,41
606,92
607,85
608,85
609,50
610,100
611,74
612,94
613,32
614,17
615,21
616,100
617,21
618,97
619,3
620,80
621,48
622,36
623,8
624,11
625,44
626,87
627,91
628,38
629,70
630,1
631,7
632,80
633,4
634,21
635,96
636,37
637,90
638,9
639,89
640,15
641,27
642,32
643,0
644,31
645,19
646,16
647,87
648,36
649,98
650,57
651,8
652,50
653,76
654,52
655,57
656,8
657,40
658,71
659,34
660,74
661,46
662,55
663,36
664,47
665,2
666,82
667,92
668,41
669,98
670,0
671,14
672,95
673,54
674,68
675,62
676,77
677,33
678,48
679,58
680,51
681,0
682,22
683,3
684,69
685,92
686,39
687,0
688,87
689,39
690,50
691,35
692,67
693,17
694,3
695,12
696,66
697,53
698,38
699,67
700,21
701,10
702,71
703,82
704,6
705,45
706,46
707,15
708,85
709,95
710,30
711,55
712,52
713,56
714,93
715,89
716,100
717,41
718,48
719,60
720,95
721,52
722,1
723,80
724,81
725,69
726,51
727,45
728,51
729,52
730,83
731,18
732,26
733,7
734,11
735,0
736,57
737,55
738,97
739,3
740,9
741,0
742,7
743,16
744,16
745,97
746,7
747,44
748,65
749,18
750,61
751,50
752,0
753,55
754,54
755,78
756,7
757,53
758,77
759,68
760,71
761,100
762,73
763,78
764,45
765,0
766,46
767,36
768,15
769,43
770,33
771,53
772,44
773,46
774,50
775,20
