,kills,headshotKills,heals,damageDealt,DBNOs,walkDistance,predicted_winPlacePerc,winPlacePerc,error
0,0,0,0,0,0,0,2.6800779457914206,0,-2.6800779457914206
1,0,0,0,63,0,661,44.486673239474385,53,8.513326760525615
2,0,0,0,0,0,0,2.6800779457914206,2,-0.6800779457914206
3,0,0,0,0,0,1053,52.278263093731944,58,5.721736906268056
4,0,0,1,32,0,3470,80.58651723534183,96,15.41348276465817
5,2,2,2,235,0,3433,91.23046834509665,94,2.7695316549033464
6,0,0,0,90,0,41,10.413481618384147,17,6.5865183816158535
7,1,0,4,187,0,136,24.38558156180456,31,6.61441843819544
8,0,0,0,0,0,95,16.382716173772195,13,-3.382716173772195
9,0,0,0,93,0,444,37.87464088996101,43,5.125359110038993
10,1,0,0,111,0,119,22.983865939349844,15,-7.983865939349844
11,4,0,2,400,0,1553,80.68119035949763,90,9.318809640502366
12,1,0,5,150,0,2283,80.58086071586513,91,10.419139284134872
13,0,0,0,34,0,4,4.09187742984048,11,6.90812257015952
14,0,0,3,0,0,160,28.676407236323055,84,55.32359276367694
15,0,0,0,0,0,1631,57.66539392655971,92,34.33460607344029
16,0,0,0,173,0,0,2.2332953752932174,0,-2.2332953752932174
17,0,0,0,99,0,0,1.4012149631193243,0,-1.4012149631193243
18,0,0,0,0,0,268,29.158901871560886,27,-2.158901871560886
19,0,0,0,51,0,1177,57.046014303090246,44,-13.046014303090246
20,1,0,0,100,0,681,49.72051267840449,75,25.27948732159551
21,0,0,0,0,0,200,25.18708936666649,35,9.812910633333509
22,2,0,0,200,0,397,39.353182206058534,31,-8.353182206058534
23,0,0,0,0,0,0,2.6800779457914206,12,9.319922054208579
24,0,0,0,0,0,50,11.167237063187955,9,-2.1672370631879545
25,0,0,0,0,0,0,2.6800779457914206,0,-2.6800779457914206
26,2,0,0,158,0,2544,84.97296339230893,84,-0.9729633923089267
27,0,0,0,0,0,2111,71.02068806848376,100,28.979311931516236
28,1,0,8,222,0,795,63.20247098881039,53,-10.20247098881039
29,0,0,0,0,0,536,40.78781101532136,51,10.21218898467864
30,0,0,0,24,0,126,20.821340535958054,19,-1.8213405359580541
31,3,0,2,401,0,1235,74.46987816893197,94,19.53012183106803
32,0,0,0,127,0,1964,76.70917441754827,87,10.290825582451731
33,2,0,0,250,0,2609,83.09111019717926,79,-4.091110197179262
34,0,0,0,0,0,0,2.6800779457914206,0,-2.6800779457914206
35,0,0,0,0,0,48,10.665509456570696,16,5.334490543429304
